Tide Gauge Name,Latitude,Longitude,Start Year,End Year,Mean Amplitude (cm),Minimum Amplitude (cm),Maximum Amplitude (cm),Std of Amplitude (cm),Ratio: Mean/Max,Trends Post-1970 (mm/yr),Significant,Phase Mean (degrees),Phase Circular Std (degrees),ENSO,SigENSO,NAO,SigNAO,AMO,SigAMO,PDO,SigPDO,,,,,
'WHYALLA_III',-33.01,137.59,1976,2016,3.90,2.23,6.09,0.86,0.64,-0.10,NaN,159.56,23.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'CHRISTMAS_ISLAND_II',1.98,-157.48,1976,2016,4.51,0.31,7.59,1.57,0.59,-0.65,1,294.64,27.83,1.53,NaN,1.25,NaN,0.14,NaN,-1.31,NaN,,,,,
'FRENCH_FRIGATE_SHOALS',23.87,-166.28,1976,2003,5.16,1.74,8.24,1.55,0.63,-0.57,NaN,293.97,24.70,-0.48,NaN,-1.04,NaN,1.43,NaN,-1.75,NaN,,,,,
'KUCHINOTSU',32.61,130.20,1977,2016,18.07,15.66,20.38,1.08,0.89,-0.23,NaN,229.95,2.10,-0.86,NaN,-0.24,NaN,-2.06,NaN,-3.26,1,,,,,
'MAIZURU_II',35.48,135.39,1977,2016,16.74,14.57,19.65,1.16,0.85,0.04,NaN,242.35,1.91,-0.75,NaN,-1.15,NaN,-1.02,NaN,-3.49,1,,,,,
'OKINAWA',26.18,127.82,1978,2016,14.33,11.05,17.70,1.74,0.81,1.08,1,227.66,6.94,0.42,NaN,-4.34,1,2.56,1,-0.19,NaN,,,,,
'TOYAMA',36.76,137.22,1977,2016,15.92,13.54,18.63,1.09,0.85,-0.02,NaN,245.49,2.44,-0.91,NaN,-0.68,NaN,-1.82,1,-3.33,1,,,,,
'MUROTOMISAKI',33.27,134.16,1977,2016,12.92,9.83,15.56,1.24,0.83,0.13,NaN,239.16,4.57,-0.20,NaN,0.39,NaN,-2.84,1,-1.83,NaN,,,,,
'CHICHIJIMA',27.08,142.18,1977,2016,9.55,6.17,13.02,1.65,0.73,0.35,NaN,234.03,12.73,2.65,NaN,-0.72,NaN,2.71,1,0.52,NaN,,,,,
'POINT_REYES',38.00,-122.98,1977,2017,6.02,4.15,8.26,0.69,0.73,-0.15,NaN,294.95,16.96,-1.28,1,1.93,NaN,-0.47,NaN,-1.55,1,,,,,
'OKHA',22.47,69.08,1977,2013,2.20,0.03,4.06,1.05,0.54,0.09,NaN,66.48,27.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'PAPEETE_B__FARE_UTE_POINT__SOC_IS_',-17.53,-149.57,1978,2016,2.40,1.00,4.11,0.61,0.58,0.23,1,86.42,18.79,1.82,NaN,0.29,NaN,2.12,1,1.53,1,,,,,
'STROMSTAD',58.95,11.18,1902,1965,9.40,4.44,14.27,2.17,0.66,NaN,NaN,274.21,13.72,-2.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SKURU',60.10,23.55,1902,1934,10.00,2.83,16.56,3.73,0.60,NaN,NaN,286.08,28.10,-0.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'WALLAROO_II',-33.93,137.62,1979,2016,7.41,5.03,10.47,1.08,0.71,-0.10,NaN,180.21,13.53,-3.68,1,2.08,NaN,0.42,NaN,-1.18,NaN,,,,,
'NY_ALESUND',78.93,11.94,1979,2017,8.71,7.13,11.03,0.87,0.79,0.19,NaN,308.76,8.41,1.41,NaN,0.18,NaN,1.13,NaN,1.87,NaN,,,,,
'TAGO',34.81,138.76,1983,2016,8.21,4.99,11.29,1.32,0.73,0.33,NaN,249.78,4.07,2.92,1,1.21,NaN,1.18,NaN,0.44,NaN,,,,,
'YAIZU',34.87,138.33,1983,2016,9.09,5.91,12.19,1.40,0.75,0.39,NaN,246.25,3.97,3.12,1,0.91,NaN,1.89,NaN,0.39,NaN,,,,,
'KHALKIS_SOUTH',38.46,23.59,1980,2016,6.28,1.76,11.44,1.97,0.55,0.89,NaN,255.98,15.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SPRINGMAID_PIER',33.66,-78.92,1979,2017,9.62,7.12,12.40,1.30,0.78,0.51,NaN,248.94,7.69,-6.19,1,0.94,NaN,-2.48,NaN,-5.42,1,,,,,
'GADEOKDO',35.02,128.81,1979,2016,12.90,11.02,13.97,0.61,0.92,0.12,NaN,224.06,3.07,-1.12,NaN,1.13,NaN,-1.10,NaN,-1.59,1,,,,,
'TONGYEONG',34.83,128.43,1979,2016,13.50,11.36,15.10,0.78,0.89,0.02,NaN,224.63,2.31,-0.21,NaN,0.20,NaN,-0.85,NaN,-1.05,NaN,,,,,
'LIME_TREE_BAY__ST_CROIX',17.69,-64.75,1980,2017,6.35,4.99,7.90,0.62,0.80,0.00,NaN,259.85,5.60,-0.75,NaN,0.19,NaN,-1.10,NaN,-0.29,NaN,,,,,
'KOSEROW',54.06,14.00,1980,2016,5.70,0.24,11.16,3.15,0.51,-1.25,1,278.93,49.23,-1.09,NaN,-1.77,NaN,-2.83,NaN,-0.22,NaN,,,,,
'QUINHON',13.77,109.25,1979,2011,13.63,9.19,16.71,1.86,0.82,1.10,1,330.59,13.89,-1.91,NaN,-2.19,NaN,5.33,1,-0.22,NaN,,,,,
'MANILA__S__HARBOR',14.58,120.97,1903,2016,12.85,10.09,16.04,1.12,0.80,0.02,NaN,224.39,5.65,1.63,NaN,2.59,NaN,-2.34,NaN,1.89,NaN,,,,,
'PENRHYN',-9.02,-158.07,1979,2016,4.37,1.40,6.51,0.93,0.67,-0.23,NaN,17.23,23.63,0.70,NaN,1.48,NaN,1.35,NaN,0.65,NaN,,,,,
'SINES',37.95,-8.88,1979,2016,3.83,2.16,6.38,1.05,0.60,NaN,NaN,274.30,16.22,0.01,NaN,1.77,NaN,-0.07,NaN,0.73,NaN,,,,,
'NICE',43.70,7.29,1980,2015,5.18,2.05,8.63,1.60,0.60,0.16,NaN,264.26,15.50,0.92,NaN,1.65,NaN,-0.04,NaN,-1.85,1,,,,,
'SAIPAN',15.23,145.75,1981,2016,5.95,2.90,9.73,1.37,0.61,-0.18,NaN,194.70,10.89,3.25,1,-0.15,NaN,3.51,1,1.64,NaN,,,,,
'DANANG',16.10,108.22,1980,2011,17.73,16.21,19.88,0.75,0.89,-0.15,NaN,318.51,4.19,-0.86,NaN,-2.22,1,2.45,1,0.03,NaN,,,,,
'BALTIMORE',39.27,-76.58,1904,2017,11.76,8.90,15.27,1.29,0.77,0.72,1,209.76,4.58,-1.17,NaN,0.73,NaN,0.30,NaN,-0.91,NaN,,,,,
'NAGOYA_II',35.09,136.88,1981,2016,14.38,11.59,17.56,1.17,0.82,0.14,NaN,225.81,2.72,3.06,1,0.17,NaN,-0.28,NaN,0.96,NaN,,,,,
'HEUKSANDO',34.68,125.44,1981,2016,15.46,14.06,16.98,0.55,0.91,-0.01,NaN,219.85,1.65,-0.43,NaN,0.99,NaN,-1.84,1,-1.03,NaN,,,,,
'ULLEUNG',37.49,130.91,1981,2016,11.59,8.13,16.28,1.71,0.71,0.21,NaN,241.73,9.22,2.68,NaN,-0.68,NaN,-0.78,NaN,-0.41,NaN,,,,,
'MOOLOOLABA_2',-26.68,153.13,1982,2016,6.36,4.95,8.29,0.78,0.77,0.53,1,103.10,5.07,1.32,NaN,1.19,NaN,-0.94,NaN,-1.66,NaN,,,,,
'VUNGTAU',10.33,107.07,1981,2011,20.07,18.64,21.21,0.56,0.95,-0.24,NaN,354.04,2.56,-2.15,1,1.36,NaN,-0.14,NaN,-1.41,NaN,,,,,
'LIVERPOOL_GEORGES_AND_PRINCES_PIERS',53.40,-3.00,1860,1981,7.95,2.44,12.45,1.51,0.64,NaN,NaN,306.45,21.04,-1.79,NaN,2.01,NaN,2.94,NaN,0.67,NaN,,,,,
'AUCKLAND_II',-36.84,174.77,1906,1997,4.25,1.83,6.94,1.01,0.61,-0.66,NaN,115.64,15.30,-0.80,NaN,-0.82,NaN,-1.16,NaN,-2.73,1,,,,,
'POINTE_DES_GALETS',-20.93,55.29,1977,2016,6.26,3.57,10.50,1.29,0.60,NaN,NaN,46.11,15.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'WHITBY',54.49,-0.61,1983,2016,7.75,5.83,9.68,0.98,0.80,-0.28,NaN,302.24,10.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'NASE_III',28.50,129.50,1983,2016,17.07,14.62,19.59,1.02,0.87,0.27,NaN,220.30,6.23,-0.55,NaN,-1.96,1,-1.67,NaN,-1.04,NaN,,,,,
'GUNSAN__OUTER_PORT_',35.98,126.56,1983,2016,18.45,16.27,20.17,0.89,0.91,-0.19,NaN,213.45,2.63,-1.67,NaN,-0.15,NaN,-0.09,NaN,-2.69,1,,,,,
'TRIESTE',45.65,13.76,1877,2017,4.39,0.11,8.36,1.48,0.52,0.53,1,273.28,28.68,4.60,1,-1.02,NaN,1.27,NaN,1.70,NaN,,,,,
'CHOSHI_GYOKO',35.74,140.86,1984,2016,10.45,8.65,11.76,0.70,0.89,0.07,NaN,268.47,1.97,1.32,NaN,-1.49,NaN,1.41,NaN,0.31,NaN,,,,,
'TOKYO_III',35.65,139.77,1984,2016,9.40,7.07,11.35,0.97,0.83,0.48,1,240.10,2.66,1.67,1,0.34,NaN,0.55,NaN,0.52,NaN,,,,,
'GEOMUNDO',34.03,127.31,1984,2016,14.54,12.97,16.58,0.85,0.88,-0.01,NaN,225.52,2.19,-0.12,NaN,1.25,NaN,-1.63,NaN,-1.82,1,,,,,
'HONOLULU',21.31,-157.87,1907,2017,4.15,2.00,6.95,0.92,0.60,0.06,NaN,274.09,15.09,-2.01,1,-2.57,1,-1.29,NaN,-3.55,1,,,,,
'ROOMPOT_BUITEN',51.62,3.68,1989,2016,7.24,5.31,8.87,0.81,0.82,0.56,1,292.06,9.49,-1.23,NaN,-0.51,NaN,-0.79,NaN,-1.88,NaN,,,,,
'KOCHI_III',33.50,133.57,1985,2016,14.17,10.56,17.18,1.73,0.83,1.57,1,237.51,4.87,0.53,NaN,2.19,NaN,0.18,NaN,-4.11,1,,,,,
'WANDO',34.32,126.76,1985,2016,15.76,13.91,17.95,0.91,0.88,-0.03,NaN,222.76,2.67,-0.99,NaN,1.32,NaN,-1.96,1,-1.78,1,,,,,
'SHUTE_HARBOUR_2',-20.28,148.78,1985,2015,9.60,7.78,10.97,0.63,0.88,0.28,NaN,73.57,4.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'BUENOS_AIRES',-34.60,-58.37,1907,1985,8.47,2.29,12.44,1.62,0.68,NaN,NaN,33.77,9.81,-5.03,1,-6.65,1,0.23,NaN,-4.94,1,,,,,
'SAN_DIEGO__QUARANTINE_STATION_',32.71,-117.17,1908,2017,6.85,4.51,8.90,0.80,0.77,0.27,1,262.61,9.24,5.50,1,1.55,NaN,-4.24,1,1.16,NaN,,,,,
'HAMADA_II',34.90,132.07,1986,2016,18.25,16.39,20.95,0.95,0.87,0.48,NaN,233.01,1.70,0.17,NaN,-0.62,NaN,-0.32,NaN,-3.90,1,,,,,
'IZUHARA_II',34.20,129.29,1986,2016,17.34,15.68,18.59,0.68,0.93,0.48,1,232.54,1.49,-0.06,NaN,1.04,NaN,-0.53,NaN,-2.17,1,,,,,
'TAPPI',41.24,140.38,1987,2016,9.73,7.84,12.10,0.90,0.80,0.34,NaN,257.00,3.13,1.36,NaN,-0.48,NaN,0.43,NaN,-2.76,1,,,,,
'CHUJADO',33.96,126.30,1986,2016,15.01,12.87,17.65,1.10,0.85,0.44,1,225.67,2.97,0.27,NaN,0.74,NaN,0.44,NaN,-1.63,1,,,,,
'TANJUNG_GELANG',3.98,103.43,1986,2016,18.73,17.28,19.84,0.54,0.94,0.29,1,3.07,1.51,-1.22,NaN,1.18,NaN,-0.43,NaN,-1.52,1,,,,,
'OSHORO_I',43.22,140.87,1932,1960,9.20,6.72,11.60,1.15,0.79,NaN,NaN,236.32,4.91,2.19,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'TAURANGA__SALISBURY_WHARF_',-37.64,176.18,1987,2016,4.19,1.90,5.91,0.78,0.71,0.18,NaN,118.22,10.82,0.99,NaN,1.19,NaN,1.22,NaN,1.18,NaN,,,,,
'PELABUHAN_KELANG',3.05,101.36,1986,2016,5.87,1.91,9.06,1.82,0.65,-1.38,1,244.51,13.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'CENDERING',5.27,103.19,1987,2016,19.41,17.73,20.52,0.52,0.95,-0.13,NaN,2.44,1.68,-1.36,NaN,1.55,NaN,-0.39,NaN,-0.77,NaN,,,,,
'TANJUNG_KELING',2.22,102.15,1987,2016,4.64,2.56,6.19,0.81,0.75,-0.57,1,276.00,16.18,1.49,NaN,-0.63,NaN,1.33,NaN,0.69,NaN,,,,,
'LUMUT',4.24,100.61,1987,2016,6.60,3.69,9.97,1.62,0.66,-1.37,1,232.39,11.37,3.89,1,-0.11,NaN,1.39,NaN,4.43,1,,,,,
'PULAU_PINANG',5.42,100.35,1987,2016,7.86,4.45,11.82,1.80,0.66,-1.35,1,222.68,7.20,4.08,1,1.36,NaN,-0.19,NaN,5.48,1,,,,,
'LYOKKI',60.85,21.18,1860,1934,11.29,5.26,17.21,2.48,0.66,NaN,NaN,289.10,17.30,5.40,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'ZANZIBAR',-6.15,39.18,1986,2016,1.66,0.48,2.83,0.54,0.59,-0.19,NaN,76.29,24.39,1.88,1,-0.50,NaN,0.74,NaN,1.50,NaN,,,,,
'GALVESTON_II__PIER_21__TX',29.31,-94.79,1910,2017,7.08,2.91,10.89,1.49,0.65,0.53,1,231.50,13.34,-2.65,NaN,-2.40,NaN,0.94,NaN,0.07,NaN,,,,,
'LAGOS',37.10,-8.67,1911,1997,4.30,2.35,7.46,1.22,0.58,NaN,NaN,270.95,17.86,1.94,1,0.24,NaN,-0.25,NaN,0.28,NaN,,,,,
'SEOGWIPO',33.24,126.56,1987,2016,15.73,14.34,17.88,0.85,0.88,0.18,NaN,230.13,3.23,0.35,NaN,2.74,1,-0.59,NaN,-0.77,NaN,,,,,
'MOURILYAN_HARBOUR',-17.58,146.08,1987,2016,10.13,8.67,11.64,0.64,0.87,0.06,NaN,78.23,6.00,-0.83,NaN,1.22,NaN,-3.80,1,-1.92,1,,,,,
'BALBOA',8.97,-79.57,1910,2016,11.97,8.95,14.71,1.18,0.81,0.27,NaN,246.96,6.30,-3.05,1,3.26,1,-0.66,NaN,0.36,NaN,,,,,
'LUCINDA',-18.52,146.38,1987,2016,9.98,8.67,11.88,0.65,0.84,-0.04,NaN,73.89,4.68,-1.27,NaN,0.97,NaN,-3.64,1,-1.64,1,,,,,
'ONSLOW',-21.65,115.13,1987,2016,11.79,9.32,15.14,1.32,0.78,0.80,1,84.51,8.19,-0.38,NaN,3.64,1,-7.88,1,-5.49,1,,,,,
'SAND_POINT__POPOF_IS___AK',55.34,-160.50,1987,2017,13.26,8.77,17.90,2.30,0.74,0.74,NaN,344.51,8.07,3.75,1,-2.36,NaN,-0.63,NaN,5.46,1,,,,,
'CHESAPEAKE_BAY_BR__TUN_',36.97,-76.11,1987,2015,6.92,3.90,9.31,1.51,0.74,1.57,1,229.59,9.35,-3.53,1,1.67,NaN,0.48,NaN,-5.03,1,,,,,
'DUCK_PIER_OUTSIDE',36.18,-75.75,1987,2017,6.91,3.23,10.93,1.75,0.63,1.70,1,245.81,9.11,-1.96,NaN,2.41,NaN,0.30,NaN,-3.59,1,,,,,
'N__SPIT__HUMBOLDT_BAY',40.77,-124.22,1987,2017,6.01,3.30,8.58,1.18,0.70,0.32,NaN,327.50,16.78,1.61,NaN,-4.26,1,2.54,1,1.61,NaN,,,,,
'PORT_ORFORD',42.74,-124.50,1987,2017,8.31,4.71,12.85,2.07,0.65,0.13,NaN,350.79,15.72,5.68,1,-4.66,1,4.35,1,3.12,1,,,,,
'PANAMA_CITY__ST_ANDREWS_BAY__FL',30.15,-85.67,1987,2017,10.88,8.86,12.97,1.06,0.84,0.47,NaN,229.43,5.22,-1.20,NaN,-1.33,NaN,-0.36,NaN,-3.68,1,,,,,
'BALTRA_B',-0.43,-90.28,1987,2016,4.72,0.21,8.27,1.76,0.57,0.31,NaN,93.30,22.83,0.47,NaN,-3.56,1,4.84,1,-4.28,1,,,,,
'TOFINO',49.15,-125.92,1912,2016,12.32,7.71,16.60,2.05,0.74,-0.43,NaN,3.22,7.49,3.42,1,-8.64,1,10.27,1,2.60,NaN,,,,,
'VICTORIA',48.42,-123.37,1911,2016,8.21,4.14,12.06,1.74,0.68,-0.66,1,0.89,10.24,0.40,NaN,-6.10,1,6.58,1,3.07,1,,,,,
'PRINCE_RUPERT',54.32,-130.33,1911,2016,10.75,6.73,14.23,1.53,0.76,-0.14,NaN,354.56,7.86,2.28,NaN,-5.18,1,8.35,1,4.61,1,,,,,
'ISHIGAKI_II',24.33,124.16,1989,2016,15.01,12.04,17.54,1.36,0.86,0.47,NaN,214.45,2.92,-3.18,1,-1.50,NaN,-2.37,NaN,-2.58,1,,,,,
'RODRIGUES_IS',-19.67,63.42,1989,2017,7.79,3.94,10.22,1.29,0.76,-0.22,NaN,27.51,12.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'PORT_LOUIS_II',-20.15,57.50,1989,2017,8.56,6.13,11.35,1.03,0.75,0.08,NaN,38.16,11.39,0.75,NaN,0.55,NaN,-1.85,NaN,1.27,NaN,,,,,
'QUARRY_BAY',22.29,114.21,1988,2016,11.70,8.75,13.31,0.95,0.88,0.65,1,298.42,8.71,-1.71,NaN,-2.04,NaN,2.43,1,-0.63,NaN,,,,,
'PULAU_LANGKAWI',6.43,99.76,1988,2016,8.70,5.12,12.73,2.09,0.68,-1.96,1,217.98,6.72,4.11,1,1.56,NaN,-1.10,NaN,5.46,1,,,,,
'KUKUP',1.33,103.44,1988,2016,5.23,3.35,7.06,0.77,0.74,0.10,NaN,316.03,12.39,-0.50,NaN,-2.74,1,1.96,1,-2.00,1,,,,,
'PULAU_TIOMAN',2.81,104.14,1988,2016,16.97,15.47,18.13,0.54,0.94,0.21,NaN,0.81,1.55,-1.86,1,0.89,NaN,-0.91,NaN,-1.38,NaN,,,,,
'VENEZIA__PUNTA_DELLA_SALUTE_',45.43,12.33,1911,1998,4.69,0.24,8.39,1.65,0.56,1.97,1,296.05,28.70,1.98,NaN,-1.26,NaN,3.10,1,1.93,NaN,,,,,
'CRISTOBAL',9.35,-79.92,1911,1978,2.97,1.45,4.33,0.54,0.69,NaN,NaN,293.40,10.84,0.64,NaN,1.05,NaN,-1.44,1,0.87,NaN,,,,,
'LYPYRTTI',60.60,21.23,1860,1934,11.01,4.27,16.82,2.53,0.65,NaN,NaN,288.42,15.03,4.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'VACA_KEY',24.71,-81.11,1989,2017,8.72,6.25,12.45,1.24,0.70,0.70,1,267.73,9.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'TANJUNG_SEDILI',1.93,104.12,1989,2016,17.68,15.22,19.08,0.92,0.93,0.25,NaN,1.70,1.60,-2.51,1,1.12,NaN,-0.98,NaN,-1.56,1,,,,,
'GETING',6.23,102.11,1989,2015,22.21,20.63,23.79,0.81,0.93,-0.10,NaN,0.37,2.02,-1.74,NaN,2.72,1,-3.50,1,-1.88,1,,,,,
'GOLD_COAST_SEAWAY_2',-27.95,153.42,1989,2016,5.81,2.50,7.49,1.01,0.78,0.97,1,123.01,6.17,0.72,NaN,-0.29,NaN,1.66,NaN,1.02,NaN,,,,,
'GAN_II',-0.68,73.15,1989,2016,3.53,2.23,4.78,0.60,0.74,-0.03,NaN,181.85,13.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'MANTYLUOTO',61.59,21.46,1913,2016,11.84,0.94,21.99,3.97,0.54,-1.89,1,300.16,24.33,-7.12,1,8.16,1,-8.71,1,-5.56,NaN,,,,,
'KO_LAK',11.80,99.82,1942,2016,21.21,18.36,23.29,0.85,0.91,0.07,NaN,5.23,2.59,-1.07,NaN,1.11,NaN,-0.86,NaN,-0.76,NaN,,,,,
'TRONDHEIM_2',63.44,10.39,1992,2017,11.44,9.23,14.61,1.20,0.78,0.54,NaN,328.53,11.02,0.76,NaN,2.49,NaN,-0.37,NaN,-0.68,NaN,,,,,
'HARRINGTON_HBR',50.50,-59.48,1913,1987,4.80,2.21,6.39,0.79,0.75,NaN,NaN,303.53,12.72,2.31,1,-1.65,NaN,-1.13,NaN,2.35,1,,,,,
'SMOGEN',58.35,11.22,1913,2016,9.91,4.86,14.84,1.97,0.67,-0.66,1,283.40,17.34,-2.09,NaN,0.91,NaN,-3.00,1,-2.57,NaN,,,,,
'JUNGFRUSUND',59.95,22.37,1860,1932,10.46,3.35,16.89,2.70,0.62,NaN,NaN,283.15,17.95,5.11,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'ATLANTIC_CITY',39.36,-74.42,1914,2017,7.23,3.78,10.63,1.33,0.68,0.99,1,226.08,9.04,-0.07,NaN,3.48,1,-0.72,NaN,-0.90,NaN,,,,,
'PORTLAND___MAINE_',43.66,-70.25,1914,2017,3.16,0.65,5.22,0.98,0.61,0.16,NaN,206.56,18.34,-0.73,NaN,2.48,1,-0.57,NaN,-1.36,NaN,,,,,
'KEY_WEST',24.56,-81.81,1915,2017,8.29,5.95,12.65,1.03,0.66,0.47,1,263.87,8.16,-0.75,NaN,1.21,NaN,-1.41,NaN,-3.07,1,,,,,
'PORT_HEDLAND',-20.32,118.57,1968,2016,10.52,7.53,14.34,1.16,0.73,0.20,NaN,60.97,9.19,2.66,1,5.38,1,-8.57,1,-4.93,1,,,,,
'DUNBAR',56.01,-2.52,1915,1948,7.09,5.24,8.80,0.86,0.81,NaN,NaN,303.20,8.41,-1.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'PORT_BLOC',45.57,-1.06,1961,2016,4.89,0.64,11.61,2.39,0.42,NaN,NaN,324.42,17.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SAINT_JOHN__N_B_',45.27,-66.07,1898,2016,2.71,0.12,5.26,1.18,0.51,-0.64,1,144.86,35.00,-0.38,NaN,0.00,NaN,-1.95,NaN,-4.39,1,,,,,
'SYDNEY__FORT_DENISON_2',-33.85,151.23,1916,2017,4.19,1.90,6.23,0.79,0.67,0.13,NaN,125.70,15.06,2.43,1,-2.33,1,1.03,NaN,2.28,1,,,,,
'SWINOUJSCIE',53.92,14.23,1813,1997,5.88,0.14,12.48,2.36,0.47,-2.73,1,253.00,32.71,-1.87,NaN,0.87,NaN,-2.95,NaN,0.97,NaN,,,,,
'VLISSINGEN',51.44,3.60,1864,2016,6.74,3.05,10.35,1.40,0.65,-0.03,NaN,282.43,21.92,0.32,NaN,-0.75,NaN,-1.53,NaN,-1.56,NaN,,,,,
'NEWLYN',50.10,-5.54,1917,2016,5.76,3.23,7.66,0.86,0.75,0.26,1,308.74,17.64,0.51,NaN,0.83,NaN,-2.04,1,1.57,NaN,,,,,
'BUGRINO',68.80,49.33,1955,1988,9.80,5.95,15.14,1.87,0.65,NaN,NaN,301.36,11.60,-2.46,NaN,1.06,NaN,2.59,NaN,-2.07,NaN,,,,,
'MYS_PIKSHUEVA',69.55,32.43,1958,1988,10.15,5.45,13.14,1.66,0.77,NaN,NaN,312.36,7.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'POLYARNIY',69.20,33.48,1908,1988,9.77,5.85,13.12,1.66,0.74,NaN,NaN,307.76,7.64,2.71,NaN,2.75,NaN,-2.93,1,1.45,NaN,,,,,
'TERIBERKA',69.20,35.12,1943,1988,10.47,6.18,14.60,1.87,0.72,NaN,NaN,310.15,9.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'KARACHI',24.81,66.98,1918,2014,4.54,1.45,9.49,1.73,0.48,1.07,NaN,152.39,15.05,2.94,NaN,2.68,NaN,1.63,NaN,3.04,1,,,,,
'CHENNAI',13.10,80.30,1918,2013,8.74,5.23,12.86,1.41,0.68,-0.32,NaN,299.08,15.61,-4.78,1,-1.60,NaN,-0.69,NaN,0.78,NaN,,,,,
'PORT_ALMA',-23.58,150.87,1988,2016,8.72,7.36,10.52,0.74,0.83,0.46,1,66.16,4.09,1.02,NaN,0.77,NaN,-0.79,NaN,-1.95,1,,,,,
'URANGAN_II',-25.30,152.92,1989,2016,5.20,3.23,6.35,0.70,0.82,0.35,NaN,71.01,7.83,1.14,NaN,1.57,1,0.90,NaN,1.14,NaN,,,,,
'BOWEN_II',-20.02,148.25,1989,2016,9.88,8.63,11.41,0.59,0.87,-0.05,NaN,73.92,4.57,-1.26,NaN,1.33,NaN,-3.28,1,-2.10,1,,,,,
'ALICANTE__OUTER_HARBOUR_',38.34,-0.48,1954,1994,6.55,5.20,7.98,0.55,0.82,NaN,NaN,264.86,9.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'CADIZ_II',36.53,-6.31,1883,1987,3.47,0.77,8.50,1.57,0.41,NaN,NaN,279.01,32.03,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'ABERDEEN_II',57.15,-2.08,1864,1963,8.97,6.00,12.95,1.42,0.69,NaN,NaN,317.60,11.56,-2.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'KALIX',65.70,23.10,1977,2016,14.59,7.17,23.68,3.62,0.62,-1.71,1,321.75,26.50,-5.18,NaN,2.06,NaN,-6.07,NaN,-5.89,NaN,,,,,
'FORSMARK',60.41,18.21,1978,2016,11.46,3.65,20.77,4.26,0.55,-2.20,1,317.05,25.91,-1.74,NaN,0.07,NaN,-3.12,NaN,-1.27,NaN,,,,,
'MARVIKEN',58.55,16.84,1967,2016,10.07,1.89,18.08,3.80,0.56,-1.68,1,308.37,25.91,-5.64,1,2.39,NaN,-6.91,1,-4.78,NaN,,,,,
'VISBY',57.64,18.28,1918,2016,9.82,1.27,18.25,3.66,0.54,-1.81,1,285.73,25.73,-5.31,1,4.76,1,-7.50,1,-4.91,1,,,,,
'OSKARSHAMN',57.28,16.48,1963,2016,9.48,1.92,17.16,3.48,0.55,-1.45,1,307.66,24.85,-5.71,1,2.84,NaN,-6.55,1,-3.63,NaN,,,,,
'SIMRISHAMN',55.56,14.36,1984,2016,6.41,0.42,13.39,3.01,0.48,-0.33,NaN,311.07,20.52,-0.38,NaN,0.65,NaN,-3.82,NaN,-0.29,NaN,,,,,
'BARSEBACK',55.76,12.90,1939,2016,6.40,2.06,10.29,2.02,0.62,1.88,1,278.94,17.59,-2.80,NaN,2.09,NaN,1.25,NaN,-5.68,1,,,,,
'VIKEN',56.14,12.58,1978,2016,8.46,2.82,14.89,3.28,0.57,-1.18,NaN,283.98,17.96,-0.63,NaN,-2.38,NaN,-0.82,NaN,-1.84,NaN,,,,,
'RINGHALS',57.25,12.11,1970,2016,9.50,3.67,15.30,2.67,0.62,-0.79,1,293.55,17.17,-1.37,NaN,-1.02,NaN,-3.89,1,-2.15,NaN,,,,,
'STENUNGSUND',58.09,11.83,1965,2016,10.02,4.42,15.79,2.54,0.63,-0.76,1,294.30,18.11,-2.02,NaN,-1.14,NaN,-2.02,NaN,-2.38,NaN,,,,,
'KUNGSVIK',59.00,11.13,1976,2016,9.78,4.60,15.64,2.58,0.63,-0.92,NaN,289.10,15.69,0.51,NaN,-2.34,NaN,-3.18,NaN,-1.38,NaN,,,,,
